start...
Finetuning mode
Load outputs/latest/best_weight.pt...
Epoch: 55 / 100, Score: 13500,  block: 301,  Reward: 10.4636 Cleared lines: 119, col: 0/0/0/0 
Epoch: 56 / 100, Score: 13600,  block: 301,  Reward: 9.6150 Cleared lines: 118, col: 0/0/0/0 
Epoch: 57 / 100, Score: 13600,  block: 301,  Reward: 9.7947 Cleared lines: 119, col: 0/0/0/0 
Epoch: 58 / 100, Score: 14200,  block: 301,  Reward: 10.4764 Cleared lines: 120, col: 0/0/0/0 
Epoch: 59 / 100, Score: 13100,  block: 301,  Reward: 9.5507 Cleared lines: 120, col: 0/0/0/0 
Epoch: 60 / 100, Score: 14700,  block: 301,  Reward: 12.4298 Cleared lines: 118, col: 0/0/0/0 
Epoch: 61 / 100, Score: 14100,  block: 301,  Reward: 11.3331 Cleared lines: 119, col: 0/0/0/0 
Epoch: 62 / 100, Score: 13600,  block: 301,  Reward: 10.7406 Cleared lines: 119, col: 0/0/0/0 
Epoch: 63 / 100, Score: 13700,  block: 301,  Reward: 10.2178 Cleared lines: 119, col: 0/0/0/0 
Epoch: 64 / 100, Score: 12900,  block: 301,  Reward: 9.3889 Cleared lines: 118, col: 0/0/0/0 
Epoch: 65 / 100, Score: 14200,  block: 301,  Reward: 11.7442 Cleared lines: 119, col: 0/0/0/0 
Epoch: 66 / 100, Score: 12900,  block: 301,  Reward: 9.4937 Cleared lines: 119, col: 0/0/0/0 
Epoch: 67 / 100, Score: 13500,  block: 301,  Reward: 10.4577 Cleared lines: 119, col: 0/0/0/0 
Epoch: 68 / 100, Score: 14100,  block: 301,  Reward: 11.3627 Cleared lines: 119, col: 0/0/0/0 
Epoch: 69 / 100, Score: 13100,  block: 301,  Reward: 9.7864 Cleared lines: 119, col: 0/0/0/0 
Epoch: 70 / 100, Score: 14500,  block: 301,  Reward: 11.3703 Cleared lines: 120, col: 0/0/0/0 
Epoch: 71 / 100, Score: 14200,  block: 301,  Reward: 11.3816 Cleared lines: 118, col: 0/0/0/0 
Epoch: 72 / 100, Score: 13700,  block: 301,  Reward: 10.9576 Cleared lines: 118, col: 0/0/0/0 
Epoch: 73 / 100, Score: 14000,  block: 301,  Reward: 11.5656 Cleared lines: 120, col: 0/0/0/0 
Epoch: 74 / 100, Score: 13700,  block: 301,  Reward: 11.0281 Cleared lines: 119, col: 0/0/0/0 
Epoch: 75 / 100, Score: 13300,  block: 301,  Reward: 10.6256 Cleared lines: 120, col: 0/0/0/0 
Epoch: 76 / 100, Score: 13500,  block: 301,  Reward: 10.3500 Cleared lines: 119, col: 0/0/0/0 
Epoch: 77 / 100, Score: 13800,  block: 301,  Reward: 11.1930 Cleared lines: 117, col: 0/0/0/0 
Epoch: 78 / 100, Score: 13300,  block: 301,  Reward: 9.3389 Cleared lines: 119, col: 0/0/0/0 
Epoch: 79 / 100, Score: 13200,  block: 301,  Reward: 9.8295 Cleared lines: 119, col: 0/0/0/0 
Epoch: 80 / 100, Score: 13900,  block: 301,  Reward: 11.3156 Cleared lines: 119, col: 0/0/0/0 
Epoch: 81 / 100, Score: 14100,  block: 301,  Reward: 10.5528 Cleared lines: 118, col: 0/0/0/0 
Epoch: 82 / 100, Score: 13100,  block: 301,  Reward: 10.2137 Cleared lines: 118, col: 0/0/0/0 
Epoch: 83 / 100, Score: 13700,  block: 301,  Reward: 11.2362 Cleared lines: 119, col: 0/0/0/0 
Epoch: 84 / 100, Score: 13500,  block: 301,  Reward: 9.6540 Cleared lines: 119, col: 0/0/0/0 
Epoch: 85 / 100, Score: 14000,  block: 301,  Reward: 10.9547 Cleared lines: 120, col: 0/0/0/0 
Epoch: 86 / 100, Score: 13600,  block: 301,  Reward: 11.2666 Cleared lines: 119, col: 0/0/0/0 
Epoch: 87 / 100, Score: 14300,  block: 301,  Reward: 10.9730 Cleared lines: 120, col: 0/0/0/0 
Epoch: 88 / 100, Score: 13800,  block: 301,  Reward: 10.8867 Cleared lines: 120, col: 0/0/0/0 
Epoch: 89 / 100, Score: 13600,  block: 301,  Reward: 10.7917 Cleared lines: 119, col: 0/0/0/0 
Epoch: 90 / 100, Score: 13800,  block: 301,  Reward: 10.3373 Cleared lines: 119, col: 0/0/0/0 
Epoch: 91 / 100, Score: 14400,  block: 301,  Reward: 11.6934 Cleared lines: 120, col: 0/0/0/0 
Epoch: 92 / 100, Score: 14000,  block: 301,  Reward: 11.3021 Cleared lines: 119, col: 0/0/0/0 
Epoch: 93 / 100, Score: 13500,  block: 301,  Reward: 10.5996 Cleared lines: 117, col: 0/0/0/0 
Epoch: 94 / 100, Score: 13300,  block: 301,  Reward: 10.6082 Cleared lines: 119, col: 0/0/0/0 
Epoch: 95 / 100, Score: 12600,  block: 301,  Reward: 9.4704 Cleared lines: 118, col: 0/0/0/0 
Epoch: 96 / 100, Score: 13900,  block: 301,  Reward: 11.7273 Cleared lines: 120, col: 0/0/0/0 
Epoch: 97 / 100, Score: 13300,  block: 301,  Reward: 9.1201 Cleared lines: 119, col: 0/0/0/0 
Epoch: 98 / 100, Score: 13300,  block: 301,  Reward: 10.0084 Cleared lines: 118, col: 0/0/0/0 
Epoch: 99 / 100, Score: 14500,  block: 301,  Reward: 11.8204 Cleared lines: 119, col: 0/0/0/0 
Epoch: 100 / 100, Score: 14900,  block: 301,  Reward: 12.1005 Cleared lines: 119, col: 0/0/0/0 
Epoch: 101 / 100, Score: 14400,  block: 301,  Reward: 11.9276 Cleared lines: 119, col: 0/0/0/0 
finish..
